site,area,country,lat,long
Berlin Zoo,Berlin,Germany,52.507991,13.337755
Harlow Center for Biological Psychology,"Madison, WI",USA,43.068824,-89.405584
Washington National Primate Research Center,"Seattle, WA",USA,47.617721,-122.355083
Southwest National Primate Center,"San Antonio, TX",USA,29.440235,-98.63879
New England Primate Research Center,"Westborough, MA",USA,42.326287,-71.498716
University of Vienna,Vienna,Austria,48.213032,16.360098
Animal Educators,"Valley Center, CA",USA,33.281667,-116.988472
Zurich Zoo,Zurich,Switzerland,47.387124,8.574788
Callitrichid Research Center,"Omaha, NB",USA,41.258186,-96.010658
Endangered Primate Rescue Center,Cuc Phuong National Park,Vietnam,20.247138,105.715263
Taï National Park,NA,Ivory Coast,5.690011,-6.939509
Rockhampton Zoo,Queensland,Australia,-23.398028,150.491044
Perth Zoo,Perth,Australia,-31.975394,115.852793
La Forêt des Singes,Rocamadour,France,44.804168,1.633527
"Institute of Neuroscience, Chinese Academy of Sciences",Shanghai,China,31.201628,121.453406
Augusta University,"Augusta, GA",USA,33.476008,-82.023253
Princeton Neuroscience Institute,"Princeton, NJ",USA,40.343197,-74.65247
St. Catherine’s Island,Georgia,USA,31.631765,-81.152937
McGill University,Montreal,Canada,45.504725,-73.577258
Station Biologique de Paimpont,Paimpont,France,48.003925,-2.228661
Blouberg Nature Reserve,NA,South Africa,-23.017894,29.069148
Rikkyo University,Tokyo,Japan,35.73036,139.702217
Ifrane National Park,NA,Morocco,33.563008,-5.237152
University of Iowa,"Iowa City, IA",USA,41.662666,-91.554767
Lund University Primate Research Station,Lund,Sweden,60.652277,17.336485
CNRS Centre de Neuroscience Cognitive,Bron,France,45.744177,4.903178
University of Veterinary Medicine Hannover,Hannover,Germany,52.355002,9.801492
CNRS INSERM,Paris,France,48.826642,2.365483
Fazenda Boa Vista Field Laboratory,Piauí,Brazil,-5.483267,-42.166659
Criadouro Conservacionista de Animais Silvestres Arca de Noé,Morro Reuter,Brazil,-29.528569,-51.070335
Newcastle University,Newcastle,UK,54.979181,-1.614757
Tokushima Bunri University,Sanuki,Japan,34.052807,134.557471
Great Ape Research Institute,Okayama,Japan,34.528841,133.994065
CNRS National Museum of Natural History,Paris,France,48.843418,2.3635
Chamundi Hill range,Mysore,India,12.28237,76.680966
Rockefeller University,"New York City, NY",USA,40.763178,-73.955787
Affenwald Straußberg,Sondershausen,Germany,51.395055,10.745647
Faunia Zoo,Madrid,Spain,40.392124,-3.612404
University of Ferrara,Ferrara,Italy,44.83327,11.626334
Zoo Lodz,Lodz,Poland,51.76384,19.412702
Zoo Wroclaw,Wroclaw,Poland,51.10446,17.075331
Zoo Warszawa,Warszawa,Poland,52.258175,21.022069
Zoo Poznan,Poznan,Poland,52.40058,16.995461
Garda Zoological Park,Bussolengo,Italy,45.478535,10.79399
Buffalo Zoo,"Buffalo, NY",USA,42.937162,-78.851609
Reserva Biológica Lomas Barbudal,NA,Costa Rica,10.456191,-85.339707
Givskud Zoo,Givskud,Denmark,55.80829,9.351685
Jacksonville Zoo and Gardens,"Jacksonville, FL",USA,30.402279,-81.643258
Carleton College,"Northfield, MN",USA,44.461312,-93.155751
Kyoto University,Kyoto,Japan,35.026244,135.78079
Centre international de recherches médicales de Franceville,Franceville,Gabon,-1.615054,13.582168
University of Western Ontario,London,Canada,43.009558,-81.27383
National Center of Neurology and Psychiatry,Tokyo,Japan,35.737186,139.476096
University of California San Diego,"San Diego, CA",USA,32.879909,-117.234105
Affenberg Landskron,Gratschach,Austria,46.644168,13.899489
MRC Human Reproductive Sciences Unit,Edinburgh,UK,55.921333,-3.127806
Atlantic Forest in Aldeia,Pernambuco,Brazil,-8.045449,-35.039132
Centre de Recherche Cerveau & Cognition,Toulouse,France,43.612621,1.398824
Instituto Brasileiro de Meio Ambiente e dos Recursos Renováveis,Brasília,Brazil,-15.767222,-47.861389
National Institute of Mental Health,"North Bethesda, MD",USA,39.056631,-77.120307
Trentham Monkey Forest,Stoke-on-Trent,UK,52.950679,-2.198392
Mpala Research Centre,Laikipia Plateau,Kenya,0.311806,36.899392
Koshima Island,NA,Japan,31.451615,131.37591
Tietê Ecological Park,São Paulo,Brazil,-23.495337,-46.519996
Lomas Barbudal Biological Reserve,Bagaces,Costa Rica,10.507234,-85.370808
Área de Conservación Regional Comunal de Tamshiyacu-Tahuayo,NA,Peru,-4.293519,-73.236237
Poço das Antas Biological Reserve & Fazenda Afetiva-Jorge,NA,Brazil,-22.501798,-42.267462
Madre Selva Biological Station,NA,Peru,-3.616667,-72.233333
Suaq Balimbing,Sumatra,Indonesia,3.65,97.416667
Tuanan,Central Kalimantan,Indonesia,-2.15,114.433333
"Serra do Japi, Ribeirão Cachoeira, Nazaré Paulista",São Paulo,Brazil,-23.234278,-46.935778
